name,href,href_posts,anti_vax
Educate Dont Vaccinate,https://www.facebook.com/stopvaccination/?ref=br_rs,https://www.facebook.com/pg/stopvaccination/posts/?ref=page_internal,True
Stop Polio Vaccination,https://www.facebook.com/DarkSideOfVaccines/?ref=br_rs,https://www.facebook.com/pg/DarkSideOfVaccines/posts/?ref=page_internal,True
Anti-Vaccination New Zealand,https://www.facebook.com/StopVaccineCoercionDeathandMaimingofChildren/?ref=br_rs,https://www.facebook.com/pg/StopVaccineCoercionDeathandMaimingofChildren/posts/?ref=page_internal,True
About Pediatrics and Parenting Advice,https://www.facebook.com/Stop-using-vaccines-Northern-Ireland-211580912701354/?ref=br_rs,https://www.facebook.com/pg/Stop-using-vaccines-Northern-Ireland-211580912701354/posts/?ref=page_internal,True
California Anti-Vax Mommies,https://www.facebook.com/strengthinwords/?ref=br_rs,https://www.facebook.com/pg/strengthinwords/posts/?ref=page_internal,False
My Best Parenting Advice - Babies and Toddlers,https://www.facebook.com/AntiVaccinationMovement/?ref=br_rs,https://www.facebook.com/pg/AntiVaccinationMovement/posts/?ref=page_internal,True
Are Vaccines Safe,https://www.facebook.com/thechildhealthsite/?ref=br_rs,https://www.facebook.com/pg/thechildhealthsite/posts/?ref=page_internal,False
Parenting Advice,https://www.facebook.com/MatCHProjectCornell/?ref=br_rs,https://www.facebook.com/pg/MatCHProjectCornell/posts/?ref=page_internal,False
Child Health Explanation,https://www.facebook.com/TheMcParentsPage/?ref=br_rs,https://www.facebook.com/pg/TheMcParentsPage/posts/?ref=page_internal,False
Stop Mandatory Vaccination,https://www.facebook.com/PMNCH/?ref=br_rs,https://www.facebook.com/pg/PMNCH/posts/?ref=page_internal,False
"BellyBelly - Pregnancy, Birth & Parenting",https://www.facebook.com/ScientificParent/?ref=br_rs,https://www.facebook.com/pg/ScientificParent/posts/?ref=page_internal,False
Adult and Child Health,https://www.facebook.com/ttavdocuseries/?ref=br_rs,https://www.facebook.com/pg/ttavdocuseries/posts/?ref=page_internal,True
Mother & Child Health Coalition,https://www.facebook.com/TheVaccineMachine/?ref=br_rs,https://www.facebook.com/pg/TheVaccineMachine/posts/?ref=page_internal,True
Parent advice,https://www.facebook.com/uhpamv/?ref=br_rs,https://www.facebook.com/pg/uhpamv/posts/?ref=page_internal,True
Boys Town Parenting,https://www.facebook.com/Vaccination-Education-457215287651924/?ref=br_rs,https://www.facebook.com/pg/Vaccination-Education-457215287651924/posts/?ref=page_internal,True
Vaccine Choice Canada,https://www.facebook.com/VaccinationEducationAustralia/?ref=br_rs,https://www.facebook.com/pg/VaccinationEducationAustralia/posts/?ref=page_internal,True
Nurses Against ALL Vaccines,https://www.facebook.com/vaccinationinformationnetwork/?ref=br_rs,https://www.facebook.com/pg/vaccinationinformationnetwork/posts/?ref=page_internal,True
Corrupt Vaccines,https://www.facebook.com/www.VaccinationInformationNetwork.co.uk/?ref=br_rs,https://www.facebook.com/pg/www.VaccinationInformationNetwork.co.uk/posts/?ref=page_internal,True
The McParents Page,https://www.facebook.com/Vaccination-Information-Network-Australia-176606555745901/?ref=br_rs,https://www.facebook.com/pg/Vaccination-Information-Network-Australia-176606555745901/posts/?ref=page_internal,True
